,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,durationsec
0,2011-01-25 18:52:22.708292007,CY8hSg4Wz78oZq9Gi7,192.168.3.131,55950,72.14.213.102,80,tcp,http,0 days 00:00:00.058485,944,487,SF,,,0,ShADFadRf,5,1156,4,659,,normal,0.058485
1,2011-01-25 18:52:23.461967945,CSRT7uuttthyRghGc,192.168.3.131,55955,207.46.148.38,80,tcp,http,0 days 00:00:00.028620,448,279,SF,,,0,ShADfFa,5,660,3,407,,normal,0.02862
2,2011-01-25 18:52:23.337240934,C2wozD1fGLVKNJQlv1,192.168.3.131,55954,65.55.17.37,80,tcp,http,0 days 00:00:01.776718,1837,24470,RSTO,,,0,ShADdFR,13,2369,19,25234,,normal,1.776718
3,2011-01-25 18:52:26.609580994,Ch4qXA4EIvXXlHnxte,192.168.3.131,58264,208.82.236.129,80,tcp,http,0 days 00:00:00.125448,553,216,SF,,,0,ShADdfFa,5,765,4,388,,normal,0.125448
4,2011-01-25 18:52:26.736952066,CPOezZ349BpgydLFKf,192.168.3.131,58265,208.82.236.129,80,tcp,http,0 days 00:00:00.169843,606,6648,SF,,,0,ShADdfFa,6,858,8,6980,,normal,0.169843
5,2011-01-25 18:52:29.760087967,CRvBy12KTYGzSC3Cg7,192.168.3.131,57721,72.14.213.105,443,tcp,,0 days 00:00:00.001363,0,98,SF,,,0,^dfAFa,2,80,4,258,,normal,0.001363
6,2011-01-25 18:52:29.832443953,C8WfZ5qFGOuTEAC2l,192.168.3.131,58272,208.82.236.129,80,tcp,http,0 days 00:00:00.166319,564,6584,SF,,,0,ShADdfFa,7,856,8,6916,,normal,0.166319
7,2011-01-25 18:52:23.841133118,CAH1dG2DvjXt84tzRf,192.168.3.131,55963,65.54.95.140,80,tcp,http,0 days 00:00:09.427326,1193,12579,SF,,,0,ShADdfFa,12,1685,13,13111,,normal,9.427326
8,2011-01-25 18:52:25.127681017,CGda7x49myEw54aXJ8,192.168.3.131,55973,65.54.95.142,80,tcp,http,0 days 00:00:08.140921,388,33204,SF,,,0,ShADdfFa,16,1040,26,34256,,normal,8.140921
9,2011-01-25 18:52:23.652521133,CiIExL1m5rUWHJ0S3l,192.168.3.131,55960,206.108.207.139,80,tcp,http,0 days 00:00:17.762163,20300,31932,SF,,,51199,ShADadFgfG,6,763,4,694,,normal,17.762163
10,2011-01-25 18:52:41.406421185,CkMHc64L9HcFHV04Yb,192.168.3.131,57038,74.217.50.10,80,tcp,,0 days 00:00:00.081750,0,0,SF,,,0,FfA,2,80,1,40,,normal,0.08175
11,2011-01-25 18:52:42.220872164,Cf1NSj1lYNArj3MFLk,192.168.3.131,52201,72.14.213.102,443,tcp,ssl,0 days 00:00:00.067879,182,2043,SF,,,0,ShADadFf,6,434,5,2255,,normal,0.067879
12,2011-01-25 18:52:42.221263170,Cpv15n4sQAxqCuC5X7,192.168.3.131,52203,72.14.213.102,443,tcp,ssl,0 days 00:00:00.068419,182,2043,SF,,,0,ShADadFf,6,434,5,2255,,normal,0.068419
13,2011-01-25 18:52:42.221385956,CA1Iti3mOHzB7LHvWf,192.168.3.131,52204,72.14.213.102,443,tcp,ssl,0 days 00:00:00.070702,182,2043,SF,,,0,ShADadFf,6,434,5,2255,,normal,0.070702
14,2011-01-25 18:52:42.223068953,C0aDvN1IFJr55iTgf5,192.168.3.131,52205,72.14.213.102,443,tcp,ssl,0 days 00:00:00.070857,182,2043,SF,,,0,ShADadFf,6,434,5,2255,,normal,0.070857
15,2011-01-25 18:52:42.223269939,C7P27xjsx6zb9d1Ok,192.168.3.131,52206,72.14.213.102,443,tcp,ssl,0 days 00:00:00.071444,182,2043,SF,,,0,ShADadFf,6,434,5,2255,,normal,0.071444
16,2011-01-25 18:52:42.269794941,CWeSVC23wCbx9U0Q86,192.168.3.131,52207,72.14.213.102,443,tcp,ssl,0 days 00:00:00.068342,182,2043,SF,,,0,ShADadFf,6,434,5,2255,,normal,0.068342
17,2011-01-25 18:52:42.271215916,CI7WqK1ohvrNU8Zzk3,192.168.3.131,52209,72.14.213.102,443,tcp,ssl,0 days 00:00:00.073342,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.073342
18,2011-01-25 18:52:42.270019054,CUYnhWfTZgGrznYYi,192.168.3.131,52208,72.14.213.102,443,tcp,ssl,0 days 00:00:00.074541,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.074541
19,2011-01-25 18:52:42.271657944,C343k22vbXGwslymTi,192.168.3.131,52211,72.14.213.102,443,tcp,ssl,0 days 00:00:00.077819,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.077819
20,2011-01-25 18:52:42.271438122,Cq3PQnmaNjF5vPEUb,192.168.3.131,52210,72.14.213.102,443,tcp,ssl,0 days 00:00:00.078040,477,198,SF,,,0,ShADadFfR,6,729,5,410,,normal,0.07804
21,2011-01-25 18:52:42.317553997,Ck6VsQ2dqGZEfd1Wx,192.168.3.131,52212,72.14.213.102,443,tcp,ssl,0 days 00:00:00.066224,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.066224
22,2011-01-25 18:52:42.322663069,CvgDiE4kGZI8ffz8f5,192.168.3.131,52213,72.14.213.102,443,tcp,ssl,0 days 00:00:00.065626,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.065626
23,2011-01-25 18:52:42.322906017,Cf96JNzOjTPpOZhW7,192.168.3.131,52214,72.14.213.102,443,tcp,ssl,0 days 00:00:00.078269,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.078269
